x,y,z
-1.5,-1.5,1.58242e-10
-1.4,-1.5,1.41934e-09
-1.3,-1.5,1.06047e-08
-1.2,-1.5,6.61941e-08
-1.1,-1.5,3.46424e-07
-1.0,-1.5,1.52661e-06
-0.9,-1.5,5.69258e-06
-0.8,-1.5,1.80593e-05
-0.7,-1.5,4.90234e-05
-0.6,-1.5,0.000114548
-0.5,-1.5,0.000231726
-0.4,-1.5,0.000408082
-0.3,-1.5,0.00062864
-0.2,-1.5,0.000850458
-0.1,-1.5,0.00101332
0.0,-1.5,0.00106519
0.1,-1.5,0.000988323
0.2,-1.5,0.000808812
0.3,-1.5,0.000582682
0.4,-1.5,0.000368388
0.5,-1.5,0.000203548
0.6,-1.5,9.78039e-05
0.7,-1.5,4.06401e-05
0.8,-1.5,1.45184e-05
0.9,-1.5,4.43288e-06
1.0,-1.5,1.15021e-06
1.1,-1.5,2.52283e-07
1.2,-1.5,4.65514e-08
1.3,-1.5,7.1963e-09
1.4,-1.5,9.28784e-10
1.5,-1.5,9.98064e-11
-1.5,-1.4,1.41934e-09
-1.4,-1.4,1.22435e-08
-1.3,-1.4,8.78804e-08
-1.2,-1.4,5.26534e-07
-1.1,-1.4,2.64384e-06
-1.0,-1.4,1.11785e-05
-0.9,-1.4,4.00171e-05
-0.8,-1.4,0.000122026
-0.7,-1.4,0.000319028
-0.6,-1.4,0.000719919
-0.5,-1.4,0.00141158
-0.4,-1.4,0.00242007
-0.3,-1.4,0.00364824
-0.2,-1.4,0.00485823
-0.1,-1.4,0.00573436
0.0,-1.4,0.0060115
0.1,-1.4,0.00560046
0.2,-1.4,0.00463264
0.3,-1.4,0.00339468
0.4,-1.4,0.00219556
0.5,-1.4,0.0012473
0.6,-1.4,0.000618823
0.7,-1.4,0.000266417
0.8,-1.4,9.8867e-05
0.9,-1.4,3.14147e-05
1.0,-1.4,8.49214e-06
1.1,-1.4,1.94141e-06
1.2,-1.4,3.73351e-07
1.3,-1.4,6.01202e-08
1.4,-1.4,8.07544e-09
1.5,-1.4,9.02078e-10
-1.5,-1.3,1.06047e-08
-1.4,-1.3,8.78804e-08
-1.3,-1.3,6.05134e-07
-1.2,-1.3,3.47441e-06
-1.1,-1.3,1.67061e-05
-1.0,-1.3,6.76253e-05
-0.9,-1.3,0.000231856
-0.8,-1.3,0.000677865
-0.7,-1.3,0.00170238
-0.6,-1.3,0.00370051
-0.5,-1.3,0.00701536
-0.4,-1.3,0.0116832
-0.3,-1.3,0.0172035
-0.2,-1.3,0.0225193
-0.1,-1.3,0.0263094
0.0,-1.3,0.0274993
0.1,-1.3,0.025733
0.2,-1.3,0.021536
0.3,-1.3,0.0160754
0.4,-1.3,0.0106567
0.5,-1.3,0.00623866
0.6,-1.3,0.00320389
0.7,-1.3,0.00143284
0.8,-1.3,0.000553788
0.9,-1.3,0.000183582
1.0,-1.3,5.18229e-05
1.1,-1.3,1.23747e-05
1.2,-1.3,2.48487e-06
1.3,-1.3,4.17472e-07
1.4,-1.3,5.84372e-08
1.5,-1.3,6.79305e-09
-1.5,-1.2,6.61941e-08
-1.4,-1.2,5.26534e-07
-1.3,-1.2,3.47441e-06
-1.2,-1.2,1.90899e-05
-1.1,-1.2,8.77504e-05
-1.0,-1.2,0.000339401
-0.9,-1.2,0.001112
-0.8,-1.2,0.00310954
-0.7,-1.2,0.00748256
-0.6,-1.2,0.0156278
-0.5,-1.2,0.0285756
-0.4,-1.2,0.0461254
-0.3,-1.2,0.0662203
-0.2,-1.2,0.0850882
-0.1,-1.2,0.0983119
0.0,-1.2,0.102429
0.1,-1.2,0.0963117
0.2,-1.2,0.081628
0.3,-1.2,0.0621603
0.4,-1.2,0.0423176
0.5,-1.2,0.025587
0.6,-1.2,0.0136354
0.7,-1.2,0.00635068
0.8,-1.2,0.00256279
0.9,-1.2,0.000888462
1.0,-1.2,0.000262473
1.1,-1.2,6.5591e-05
