x,y,z
1.2,-1.0,0.0122118
1.3,-1.0,0.00493546
1.4,-1.0,0.0018127
1.5,-1.0,0.00060351
-1.5,-0.9,0.00154089
-1.4,-0.9,0.004462
-1.3,-0.9,0.0117108
-1.2,-0.9,0.0279325
-1.1,-0.9,0.0607343
-1.0,-0.9,0.1208
-0.9,-0.9,0.220635
-0.8,-0.9,0.371596
-0.7,-0.9,0.579666
-0.6,-0.9,0.841337
-0.5,-0.9,1.14134
-0.4,-0.9,1.45343
-0.3,-0.9,1.74422
-0.2,-0.9,1.97907
-0.1,-0.9,2.12839
0.0,-0.9,2.1728
0.1,-0.9,2.10648
0.2,-0.9,1.93812
0.3,-0.9,1.68946
0.4,-0.9,1.39159
0.5,-0.9,1.0794
0.6,-0.9,0.785274
0.7,-0.9,0.533489
0.8,-0.9,0.336913
0.9,-0.9,0.196892
1.0,-0.9,0.106012
1.1,-0.9,0.0523739
1.2,-0.9,0.0236519
1.3,-0.9,0.00973056
1.4,-0.9,0.00363604
1.5,-0.9,0.00123086
-1.5,-0.8,0.00287878
-1.4,-0.8,0.00820352
-1.3,-0.8,0.0211742
-1.2,-0.8,0.0496399
-1.1,-0.8,0.106038
-1.0,-0.8,0.20715
-0.9,-0.8,0.371596
-0.8,-0.8,0.614845
-0.7,-0.8,0.942848
-0.6,-0.8,1.34665
-0.5,-0.8,1.8004
-0.4,-0.8,2.26388
-0.3,-0.8,2.68903
-0.2,-0.8,3.02819
-0.1,-0.8,3.242
0.0,-0.8,3.30533
0.1,-0.8,3.21071
0.2,-0.8,2.9693
0.3,-0.8,2.60942
0.4,-0.8,2.17266
0.5,-0.8,1.70742
0.6,-0.8,1.26083
0.7,-0.8,0.870653
0.8,-0.8,0.559418
0.9,-0.8,0.332802
1.0,-0.8,0.182449
1.1,-0.8,0.0917684
1.2,-0.8,0.0421798
1.3,-0.8,0.0176535
1.4,-0.8,0.00670681
1.5,-0.8,0.00230674
-1.5,-0.7,0.00495539
-1.4,-0.7,0.0139102
-1.3,-0.7,0.0353432
-1.2,-0.7,0.0815133
-1.1,-0.7,0.171215
-1.0,-0.7,0.328776
-0.9,-0.7,0.579666
-0.8,-0.7,0.942848
-0.7,-0.7,1.42208
-0.6,-0.7,1.99965
-0.5,-0.7,2.63568
-0.4,-0.7,3.27349
-0.3,-0.7,3.84932
-0.2,-0.7,4.30293
-0.1,-0.7,4.58643
0.0,-0.7,4.67005
0.1,-0.7,4.54506
0.2,-0.7,4.22452
0.3,-0.7,3.74214
0.4,-0.7,3.14884
0.5,-0.7,2.50635
0.6,-0.7,1.87789
0.7,-0.7,1.31746
