x,y,z
0.1,-0.9,1.17984
0.2,-0.9,1.03195
0.3,-0.9,0.818714
0.4,-0.9,0.58966
0.5,-0.9,0.379653
0.6,-0.9,0.207617
0.7,-0.9,0.0865847
0.8,-0.9,0.0206466
0.9,-0.9,0.000635892
1.0,-0.9,0.0
1.1,-0.9,0.0
1.2,-0.9,0.0
1.3,-0.9,0.0
1.4,-0.9,0.0
1.5,-0.9,0.0
-1.5,-0.8,0.0
-1.4,-0.8,0.0
-1.3,-0.8,0.0
-1.2,-0.8,0.0
-1.1,-0.8,0.0
-1.0,-0.8,0.000154258
-0.9,-0.8,0.0206466
-0.8,-0.8,0.105101
-0.7,-0.8,0.274294
-0.6,-0.8,0.529682
-0.5,-0.8,0.859207
-0.4,-0.8,1.24168
-0.3,-0.8,1.63752
-0.2,-0.8,1.97317
-0.1,-0.8,2.19459
0.0,-0.8,2.2716
0.1,-0.8,2.19459
0.2,-0.8,1.97317
0.3,-0.8,1.63752
0.4,-0.8,1.24168
0.5,-0.8,0.859207
0.6,-0.8,0.529682
0.7,-0.8,0.274294
0.8,-0.8,0.105101
0.9,-0.8,0.0206466
1.0,-0.8,0.000154258
1.1,-0.8,0.0
1.2,-0.8,0.0
1.3,-0.8,0.0
1.4,-0.8,0.0
1.5,-0.8,0.0
-1.5,-0.7,0.0
-1.4,-0.7,0.0
-1.3,-0.7,0.0
-1.2,-0.7,0.0
-1.1,-0.7,0.0
-1.0,-0.7,0.00949948
-0.9,-0.7,0.0865847
-0.8,-0.7,0.274294
-0.7,-0.7,0.585793
-0.6,-0.7,1.01461
-0.5,-0.7,1.54054
-0.4,-0.7,2.12985
-0.3,-0.7,2.69712
-0.2,-0.7,3.15534
-0.1,-0.7,3.4503
0.0,-0.7,3.55183
0.1,-0.7,3.4503
0.2,-0.7,3.15534
0.3,-0.7,2.69712
0.4,-0.7,2.12985
0.5,-0.7,1.54054
0.6,-0.7,1.01461
0.7,-0.7,0.585793
0.8,-0.7,0.274294
0.9,-0.7,0.0865847
1.0,-0.7,0.00949948
1.1,-0.7,0.0
1.2,-0.7,0.0
1.3,-0.7,0.0
1.4,-0.7,0.0
1.5,-0.7,0.0
-1.5,-0.6,0.0
-1.4,-0.6,0.0
-1.3,-0.6,0.0
-1.2,-0.6,0.0
-1.1,-0.6,0.000425989
-1.0,-0.6,0.0430915
-0.9,-0.6,0.207617
-0.8,-0.6,0.529682
-0.7,-0.6,1.01461
-0.6,-0.6,1.64783
-0.5,-0.6,2.40087
-0.4,-0.6,3.20935
-0.3,-0.6,3.94794
-0.2,-0.6,4.52843
-0.1,-0.6,4.89671
0.0,-0.6,5.02267
0.1,-0.6,4.89671
0.2,-0.6,4.52843
0.3,-0.6,3.94794
0.4,-0.6,3.20935
0.5,-0.6,2.40087
0.6,-0.6,1.64783
0.7,-0.6,1.01461
0.8,-0.6,0.529682
0.9,-0.6,0.207617
1.0,-0.6,0.0430915
1.1,-0.6,0.000425989
1.2,-0.6,0.0
1.3,-0.6,0.0
1.4,-0.6,0.0
1.5,-0.6,0.0
-1.5,-0.5,0.0
-1.4,-0.5,0.0
-1.3,-0.5,0.0
-1.2,-0.5,0.0
-1.1,-0.5,0.00598913
-1.0,-0.5,0.104579
-0.9,-0.5,0.379653
-0.8,-0.5,0.859207
-0.7,-0.5,1.54054
-0.6,-0.5,2.40087
-0.5,-0.5,3.40027
-0.4,-0.5,4.42215
-0.3,-0.5,5.32161
-0.2,-0.5,6.0144
-0.1,-0.5,6.45005
0.0,-0.5,6.59929
0.1,-0.5,6.45005
0.2,-0.5,6.0144
0.3,-0.5,5.32161
0.4,-0.5,4.42215
0.5,-0.5,3.40027
0.6,-0.5,2.40087
0.7,-0.5,1.54054
0.8,-0.5,0.859207
0.9,-0.5,0.379653
1.0,-0.5,0.104579
1.1,-0.5,0.00598913
1.2,-0.5,0.0
1.3,-0.5,0.0
1.4,-0.5,0.0
1.5,-0.5,0.0
-1.5,-0.4,0.0
-1.4,-0.4,0.0
-1.3,-0.4,0.0
-1.2,-0.4,0.0
-1.1,-0.4,0.019275
-1.0,-0.4,0.188886
-0.9,-0.4,0.58966
-0.8,-0.4,1.24168
-0.7,-0.4,2.12985
-0.6,-0.4,3.20935
-0.5,-0.4,4.42215
-0.4,-0.4,5.60402
-0.3,-0.4,6.60719
-0.2,-0.4,7.3556
-0.1,-0.4,7.80938
0.0,-0.4,7.96064
0.1,-0.4,7.80938
0.2,-0.4,7.3556
0.3,-0.4,6.60719
0.4,-0.4,5.60402
0.5,-0.4,4.42215
0.6,-0.4,3.20935
0.7,-0.4,2.12985
0.8,-0.4,1.24168
0.9,-0.4,0.58966
1.0,-0.4,0.188886
1.1,-0.4,0.019275
1.2,-0.4,0.0
1.3,-0.4,0.0
1.4,-0.4,0.0
1.5,-0.4,0.0
-1.5,-0.3,0.0
-1.4,-0.3,0.0
-1.3,-0.3,0.0
-1.2,-0.3,0.0
-1.1,-0.3,0.0374473
-1.0,-0.3,0.285294
-0.9,-0.3,0.818714
-0.8,-0.3,1.63752
-0.7,-0.3,2.69712
-0.6,-0.3,3.94794
-0.5,-0.3,5.32161
-0.4,-0.3,6.60719
-0.3,-0.3,7.65812
-0.2,-0.3,8.41443
-0.1,-0.3,8.86821
0.0,-0.3,9.01947
0.1,-0.3,8.86821
0.2,-0.3,8.41443
0.3,-0.3,7.65812
0.4,-0.3,6.60719
0.5,-0.3,5.32161
0.6,-0.3,3.94794
0.7,-0.3,2.69712
0.8,-0.3,1.63752
0.9,-0.3,0.818714
1.0,-0.3,0.285294
1.1,-0.3,0.0374473
1.2,-0.3,0.0
1.3,-0.3,0.0
1.4,-0.3,0.0
1.5,-0.3,0.0
-1.5,-0.2,0.0
-1.4,-0.2,0.0
-1.3,-0.2,0.0
-1.2,-0.2,0.0
-1.1,-0.2,0.0550688
-1.0,-0.2,0.380354
-0.9,-0.2,1.03195
-0.8,-0.2,1.97317
-0.7,-0.2,3.15534
-0.6,-0.2,4.52843
-0.5,-0.2,6.0144
-0.4,-0.2,7.3556
-0.3,-0.2,8.41443
-0.2,-0.2,9.17074
-0.1,-0.2,9.62452
0.0,-0.2,9.77578
0.1,-0.2,9.62452
0.2,-0.2,9.17074
0.3,-0.2,8.41443
0.4,-0.2,7.3556
0.5,-0.2,6.0144
0.6,-0.2,4.52843
0.7,-0.2,3.15534
0.8,-0.2,1.97317
0.9,-0.2,1.03195
1.0,-0.2,0.380354
1.1,-0.2,0.0550688
1.2,-0.2,0.0
1.3,-0.2,0.0
1.4,-0.2,0.0
1.5,-0.2,0.0
-1.5,-0.1,0.0
-1.4,-0.1,0.0
-1.3,-0.1,0.0
-1.2,-0.1,0.0
-1.1,-0.1,0.0671028
-1.0,-0.1,0.454991
-0.9,-0.1,1.17984
-0.8,-0.1,2.19459
-0.7,-0.1,3.4503
-0.6,-0.1,4.89671
-0.5,-0.1,6.45005
-0.4,-0.1,7.80938
-0.3,-0.1,8.86821
-0.2,-0.1,9.62452
-0.1,-0.1,10.0783
0.0,-0.1,10.2296
0.1,-0.1,10.0783
0.2,-0.1,9.62452
0.3,-0.1,8.86821
0.4,-0.1,7.80938
0.5,-0.1,6.45005
0.6,-0.1,4.89671
0.7,-0.1,3.4503
0.8,-0.1,2.19459
0.9,-0.1,1.17984
1.0,-0.1,0.454991
1.1,-0.1,0.0671028
1.2,-0.1,0.0
1.3,-0.1,0.0
1.4,-0.1,0.0
1.5,-0.1,0.0
-1.5,0.0,0.0
-1.4,0.0,0.0
-1.3,0.0,0.0
-1.2,0.0,0.0
-1.1,0.0,0.0712093
-1.0,0.0,0.483046
-0.9,0.0,1.23234
-0.8,0.0,2.2716
-0.7,0.0,3.55183
-0.6,0.0,5.02267
-0.5,0.0,6.59929
-0.4,0.0,7.96064
-0.3,0.0,9.01947
-0.2,0.0,9.77578
-0.1,0.0,10.2296
0.0,0.0,10.3808
0.1,0.0,10.2296
0.2,0.0,9.77578
0.3,0.0,9.01947
0.4,0.0,7.96064
0.5,0.0,6.59929
0.6,0.0,5.02267
0.7,0.0,3.55183
0.8,0.0,2.2716
0.9,0.0,1.23234
1.0,0.0,0.483046
