x,y,z
-1.5,-1.5,0.00167103
-1.4,-1.5,0.00313325
-1.3,-1.5,0.0055932
-1.2,-1.5,0.00951414
-1.1,-1.5,0.0154349
-1.0,-1.5,0.0239031
-0.9,-1.5,0.035368
-0.8,-1.5,0.0500454
-0.7,-1.5,0.0677798
-0.6,-1.5,0.0879398
-0.5,-1.5,0.109386
-0.4,-1.5,0.130539
-0.3,-1.5,0.149549
-0.2,-1.5,0.164554
-0.1,-1.5,0.17397
0.0,-1.5,0.176754
0.1,-1.5,0.172593
0.2,-1.5,0.161956
0.3,-1.5,0.14601
0.4,-1.5,0.126419
0.5,-1.5,0.105065
0.6,-1.5,0.0837613
0.7,-1.5,0.0640113
0.8,-1.5,0.046854
0.9,-1.5,0.0328204
1.0,-1.5,0.0219817
1.1,-1.5,0.0140639
1.2,-1.5,0.00858788
1.3,-1.5,0.00500053
1.4,-1.5,0.00277405
1.5,-1.5,0.00146481
-1.5,-1.4,0.00313325
-1.4,-1.4,0.00583879
-1.3,-1.4,0.0103589
-1.2,-1.4,0.0175135
-1.1,-1.4,0.0282431
-1.0,-1.4,0.0434852
-0.9,-1.4,0.0639858
-0.8,-1.4,0.0900657
-0.7,-1.4,0.121391
-0.6,-1.4,0.156806
-0.5,-1.4,0.194296
-0.4,-1.4,0.231115
-0.3,-1.4,0.264089
-0.2,-1.4,0.290047
-0.1,-1.4,0.306305
0.0,-1.4,0.311109
0.1,-1.4,0.30393
0.2,-1.4,0.285556
0.3,-1.4,0.257958
0.4,-1.4,0.223954
0.5,-1.4,0.186755
0.6,-1.4,0.14948
0.7,-1.4,0.114749
0.8,-1.4,0.0844084
0.9,-1.4,0.0594415
1.0,-1.4,0.0400354
1.1,-1.4,0.0257648
1.2,-1.4,0.0158276
1.3,-1.4,0.00927259
1.4,-1.4,0.00517581
1.5,-1.4,0.00274997
-1.5,-1.3,0.0055932
-1.4,-1.3,0.0103589
-1.3,-1.3,0.0182651
-1.2,-1.3,0.030692
-1.1,-1.3,0.0491979
-1.0,-1.3,0.0753057
-0.9,-1.3,0.110184
-0.8,-1.3,0.154269
-0.7,-1.3,0.206895
-0.6,-1.3,0.266055
-0.5,-1.3,0.328361
-0.4,-1.3,0.389281
-0.3,-1.3,0.443639
-0.2,-1.3,0.486308
-0.1,-1.3,0.512983
0.0,-1.3,0.520858
0.1,-1.3,0.509089
0.2,-1.3,0.478934
0.3,-1.3,0.433545
0.4,-1.3,0.377453
0.5,-1.3,0.315853
0.6,-1.3,0.253844
0.7,-1.3,0.195762
0.8,-1.3,0.144729
0.9,-1.3,0.102473
1.0,-1.3,0.0694118
1.1,-1.3,0.0449345
1.2,-1.3,0.0277713
1.3,-1.3,0.0163699
1.4,-1.3,0.00919398
1.5,-1.3,0.00491502
-1.5,-1.2,0.00951414
-1.4,-1.2,0.0175135
-1.3,-1.2,0.030692
-1.2,-1.2,0.0512598
-1.1,-1.2,0.0816737
-1.0,-1.2,0.124282
-0.9,-1.2,0.180815
-0.8,-1.2,0.251796
-0.7,-1.2,0.335999
-0.6,-1.2,0.430103
-0.5,-1.2,0.528687
-0.4,-1.2,0.624633
-0.3,-1.2,0.709916
-0.2,-1.2,0.776664
-0.1,-1.2,0.818309
0.0,-1.2,0.830591
0.1,-1.2,0.812232
0.2,-1.2,0.76514
0.3,-1.2,0.694102
0.4,-1.2,0.606036
0.5,-1.2,0.508934
0.6,-1.2,0.410722
0.7,-1.2,0.318229
0.8,-1.2,0.236474
0.9,-1.2,0.168347
1.0,-1.2,0.114688
1.1,-1.2,0.0746853
1.2,-1.2,0.0464384
1.3,-1.2,0.027541
1.4,-1.2,0.0155631
1.5,-1.2,0.00837069
-1.5,-1.1,0.0154349
-1.4,-1.1,0.0282431
-1.3,-1.1,0.0491979
-1.2,-1.1,0.0816737
-1.1,-1.1,0.129359
